position_bounds_penalty,reward_scale,entropy_coef,seed,wallclock_s,final_net_pnl,final_std_net_pnl,final_worst_net_pnl,final_p5_net_pnl,asymmetric_score,final_reward,final_entropy,final_action_abs
1.000000e+00,3.000000e-08,1.000000e-03,123,5.010012e+02,-1.620351e+05,4.925270e+05,-2.785310e+06,-1.006010e+06,-1.022214e+07,-1.394407e+07,7.555748e+00,6.580740e+00
1.000000e+00,3.000000e-08,1.000000e-03,456,5.003518e+02,-1.704411e+05,4.988456e+05,-2.895850e+06,-1.022452e+06,-1.039496e+07,-1.434712e+07,7.725060e+00,6.910985e+00
1.000000e+00,3.000000e-08,3.000000e-03,123,5.198400e+02,-1.835406e+05,4.929641e+05,-2.559041e+06,-1.050941e+06,-1.069295e+07,-1.459045e+07,7.710184e+00,6.828442e+00
1.000000e+00,3.000000e-08,3.000000e-03,456,6.096945e+02,-1.756222e+05,5.067004e+05,-2.503062e+06,-1.054459e+06,-1.072021e+07,-1.466454e+07,7.816670e+00,7.203638e+00
1.000000e+00,1.000000e-07,3.000000e-04,123,5.954105e+02,-1.815465e+05,4.886361e+05,-2.410384e+06,-1.024209e+06,-1.042364e+07,-1.447206e+07,7.670162e+00,6.784082e+00
1.000000e+00,1.000000e-07,3.000000e-04,456,5.254063e+02,-1.638418e+05,5.008741e+05,-2.919360e+06,-1.006552e+06,-1.022936e+07,-1.415214e+07,7.618319e+00,6.824148e+00
1.000000e+00,1.000000e-07,1.000000e-03,123,5.192355e+02,-1.605408e+05,4.830928e+05,-2.732979e+06,-9.701214e+05,-9.861755e+06,-1.378069e+07,7.677268e+00,6.831984e+00
1.000000e+00,1.000000e-07,1.000000e-03,456,5.526080e+02,-1.779948e+05,5.072344e+05,-2.436056e+06,-1.058582e+06,-1.076381e+07,-1.471077e+07,7.825344e+00,7.020686e+00
1.000000e+00,1.000000e-07,3.000000e-03,123,5.772378e+02,-1.671680e+05,4.874389e+05,-2.615242e+06,-1.001030e+06,-1.017747e+07,-1.392639e+07,7.705254e+00,6.773347e+00
1.000000e+00,1.000000e-07,3.000000e-03,456,5.551811e+02,-1.736655e+05,5.106842e+05,-2.759322e+06,-1.057270e+06,-1.074637e+07,-1.460622e+07,7.829532e+00,6.933504e+00
1.000000e+01,1.000000e-08,3.000000e-04,123,5.604933e+02,-1.146806e+05,4.698308e+05,-2.081400e+06,-8.752201e+05,-8.866881e+06,-1.224427e+07,7.647962e+00,6.208274e+00
1.000000e+01,1.000000e-08,3.000000e-04,456,5.534291e+02,-1.196648e+05,4.785316e+05,-2.279123e+06,-8.980825e+05,-9.100490e+06,-1.255063e+07,7.428533e+00,6.074652e+00
1.000000e+01,1.000000e-08,1.000000e-03,123,5.695889e+02,-1.118938e+05,4.658490e+05,-1.980730e+06,-8.655011e+05,-8.766904e+06,-1.205659e+07,7.597795e+00,6.082791e+00
1.000000e+01,1.000000e-08,1.000000e-03,456,5.418280e+02,-1.281726e+05,4.797209e+05,-2.473151e+06,-9.033754e+05,-9.161926e+06,-1.279656e+07,7.600927e+00,6.307834e+00
1.000000e+01,1.000000e-08,3.000000e-03,123,5.647833e+02,-1.165120e+05,4.700972e+05,-1.999858e+06,-8.686435e+05,-8.802947e+06,-1.227594e+07,7.708364e+00,6.243321e+00
1.000000e+01,1.000000e-08,3.000000e-03,456,5.693642e+02,-1.314319e+05,4.748923e+05,-2.423321e+06,-9.135430e+05,-9.266862e+06,-1.286798e+07,7.630621e+00,6.240159e+00
1.000000e+01,3.000000e-08,3.000000e-04,123,5.468673e+02,-1.177057e+05,4.748397e+05,-2.126723e+06,-8.817330e+05,-8.935035e+06,-1.244993e+07,7.665708e+00,6.353780e+00
1.000000e+01,3.000000e-08,3.000000e-04,456,5.548143e+02,-1.253087e+05,4.764415e+05,-2.305596e+06,-8.916384e+05,-9.041692e+06,-1.267912e+07,7.512956e+00,6.170505e+00
1.000000e+01,3.000000e-08,1.000000e-03,123,5.209431e+02,-1.114472e+05,4.699446e+05,-2.194242e+06,-8.674044e+05,-8.785491e+06,-1.212828e+07,7.644381e+00,6.226773e+00
1.000000e+01,3.000000e-08,1.000000e-03,456,5.036071e+02,-1.224981e+05,4.740343e+05,-2.366380e+06,-8.999115e+05,-9.121613e+06,-1.254263e+07,7.675731e+00,6.279517e+00
1.000000e+01,3.000000e-08,3.000000e-03,123,5.018933e+02,-1.077925e+05,4.686699e+05,-1.958237e+06,-8.657033e+05,-8.764825e+06,-1.196146e+07,7.653296e+00,6.133514e+00
1.000000e+01,3.000000e-08,3.000000e-03,456,5.168654e+02,-1.248371e+05,4.721488e+05,-2.151166e+06,-9.113001e+05,-9.237839e+06,-1.254707e+07,7.603101e+00,6.187023e+00
1.000000e+01,1.000000e-07,3.000000e-04,123,5.352421e+02,-1.116038e+05,4.706838e+05,-2.143316e+06,-8.683438e+05,-8.795041e+06,-1.211814e+07,7.627846e+00,6.187881e+00
1.000000e+01,1.000000e-07,3.000000e-04,456,5.399465e+02,-1.283096e+05,4.725038e+05,-2.299350e+06,-9.244860e+05,-9.373169e+06,-1.263990e+07,7.618936e+00,6.282911e+00
1.000000e+01,1.000000e-07,1.000000e-03,123,5.349347e+02,-1.151526e+05,4.670009e+05,-1.966865e+06,-8.688282e+05,-8.803435e+06,-1.223374e+07,7.671186e+00,6.247101e+00
1.000000e+01,1.000000e-07,1.000000e-03,456,5.421408e+02,-1.219671e+05,4.751228e+05,-2.154704e+06,-8.930371e+05,-9.052338e+06,-1.253675e+07,7.571221e+00,6.130044e+00
1.000000e+01,1.000000e-07,3.000000e-03,123,5.482176e+02,-1.210927e+05,4.712675e+05,-2.289843e+06,-8.766314e+05,-8.887407e+06,-1.244584e+07,7.683960e+00,6.303960e+00
1.000000e+01,1.000000e-07,3.000000e-03,456,5.441179e+02,-1.297460e+05,4.655686e+05,-2.353265e+06,-8.744818e+05,-8.874564e+06,-1.263887e+07,7.717080e+00,6.275167e+00
