sim_date,contract,expiry,T_years,expired,mean,std,p5,p25,p50,p75,p95,scen_0,scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15
2025-12-30,PL_APR_2026,2026-04-29,0.32854209445585214,False,0.06662,0.0,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662,0.06662
2025-12-31,PL_APR_2026,2026-04-29,0.3258042436687201,False,0.05796551169117675,0.0022035592959846256,0.05430203537146384,0.056486930258301725,0.0581117696133728,0.05935668326124326,0.061296433127842206,0.058352599032116266,0.05858942862469125,0.05881682018176539,0.05969968091694574,0.05432224879152224,0.06266206495711776,0.059180016733419105,0.06034585739202454,0.057436177886941386,0.05753765987181561,0.059776502070900954,0.05883569324276098,0.05662752490395693,0.05386245153851111,0.05593180242310912,0.057945183091983536
2026-01-01,PL_APR_2026,2026-04-29,0.32306639288158795,False,0.050459611225370696,0.002973106208434131,0.045726413873783414,0.048608499932401704,0.05036117713210755,0.05244331579791817,0.0550669426830201,0.04890355049337911,0.04857042648539012,0.05500212809931086,0.049396952467934296,0.04846221814188558,0.05271616864532613,0.05059978856752336,0.05553704347057322,0.05128785353540325,0.050185174179665074,0.048621191081405564,0.052477888719396355,0.047049726597289954,0.04774689922304082,0.049950617096885364,0.04585567420358824
2026-01-02,PL_APR_2026,2026-04-29,0.3203285420944558,False,0.04371626484658806,0.003406496957243835,0.03834658644201095,0.04143943465774224,0.043803558050260955,0.04615770272076941,0.04885614587981845,0.04393681359990775,0.04348889609656973,0.0482190041770889,0.040108544908965954,0.03843096222467606,0.04828875290385008,0.04429490876584728,0.048825022930377424,0.04123595172926635,0.044759510682970835,0.04372004092478815,0.04790265387547816,0.04081482907894306,0.043690524741167476,0.041890628116818915,0.0382792170322164
2026-01-03,PL_APR_2026,2026-04-29,0.31759069130732376,False,0.03753603412108175,0.0038417856545187356,0.03113959780491366,0.03470035370552871,0.03754755728841329,0.0401826804953855,0.04372260234622545,0.03766399162419233,0.03895246157560621,0.040628994405766575,0.03259735376237393,0.03278612155679172,0.043416279205251845,0.04267147115609057,0.04480169303274749,0.03283315350680992,0.038998580332938106,0.03906777084632032,0.042406522389503626,0.035759489300941555,0.03754213171980389,0.03424076604026933,0.03624577599100982
2026-01-04,PL_APR_2026,2026-04-29,0.31485284052019163,False,0.03216665758476414,0.004175431425881583,0.02523354138450062,0.029233299503102987,0.03242784387208681,0.034983797068967586,0.03859656440341227,0.034400772027944324,0.03006272198882539,0.03294212319069615,0.028073459746087267,0.02744808433460543,0.03535833102568316,0.035865711635437336,0.04127915072906377,0.026316987091039905,0.030979636170120624,0.03425632572602511,0.03988888845426332,0.03453218389641127,0.035600116785698764,0.026931787750320145,0.033508834458242195
2026-01-05,PL_APR_2026,2026-04-29,0.31211498973305957,False,0.027368420333793116,0.004357267247958894,0.02020185079781595,0.024152515797356534,0.027809912538540142,0.030659699242447283,0.033844596827770745,0.028534499065837958,0.020747532503942744,0.028173732889184247,0.02301781644169797,0.022283303202797675,0.026912393217410055,0.03239063608170049,0.0352648077672838,0.02232128585208578,0.027043410148119326,0.027824133734450956,0.03210296619115014,0.02936512743816818,0.02681445847922898,0.022948487670928254,0.027438154054505202
2026-01-06,PL_APR_2026,2026-04-29,0.30937713894592744,False,0.023044941316846427,0.004569559161239023,0.015534488798079312,0.01964047253188598,0.02305631577505782,0.026598403113339372,0.03000992759745828,0.026458964621279488,0.01797310888131182,0.022441577713300444,0.015086006142239636,0.01761811533911374,0.02601812722802342,0.028721166034560493,0.028748443131477775,0.01774981885937387,0.022068511451051487,0.02198511830457457,0.027260273352471272,0.024736273484346632,0.021373942622370065,0.021389570942420492,0.024222406980206026
2026-01-07,PL_APR_2026,2026-04-29,0.3066392881587953,False,0.019272211952917718,0.004691186368269796,0.010619147877941595,0.016461627613242154,0.019490083373511796,0.02248386015540971,0.026708695808786435,0.01981111743785688,0.015291170626804828,0.017789882632204053,0.015752411000247,0.020262085602708316,0.019205272986117284,0.02393896135490611,0.024798531836338247,0.011277730614832442,0.01868709965579711,0.01571147892135018,0.020928406828223098,0.02131951228421452,0.02007605253018598,0.01528019137487703,0.021412674836044265
2026-01-08,PL_APR_2026,2026-04-29,0.30390143737166325,False,0.015702055069109922,0.004656019494923158,0.007021738390967233,0.012689180751692047,0.015803636729683698,0.019188394754439016,0.02260321516621637,0.018194989221535656,0.014588173201989038,0.013092003598436618,0.012136038623617888,0.014583700698678672,0.014285499685979027,0.021378606373955698,0.022540754549700396,0.008116189730249863,0.014906488750639903,0.012085486675433028,0.018351900440288373,0.017247224580442515,0.01316336743105768,0.012645544823794892,0.01982126128760587
