policy,metric,net_pnl,total_ex_funding
ml,mean,111376.02,109925.45
ml,std,608314.38,608311.88
ml,min,-1573625.25,-1575052.00
ml,p5,-786950.67,-788289.62
ml,p95,1228720.21,1227239.92
ml,max,3814998.50,3813385.25
