policy,metric,net_pnl,total_ex_funding
ml,mean,111247.38,109910.31
ml,std,499616.62,500322.88
ml,min,-1485294.00,-1486570.12
ml,p5,-643430.22,-645258.89
ml,p95,933025.53,933078.86
ml,max,2900775.50,2908185.00
