policy,metric,net_pnl,total_ex_funding
ml,mean,90576.47,89321.50
ml,std,594539.38,594666.19
ml,min,-1632803.38,-1633858.50
ml,p5,-774087.56,-776317.87
ml,p95,1157639.46,1157110.67
ml,max,3448893.50,3451297.00
