mean_pnl,worst_pnl,p5_pnl,sortino_metric,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,row_tag,row_name,seed,epochs,overrides,elapsed_min
-45481.578125,-1393412.375,-779959.4875,-825441.065625,-1569304.0,112118.96875,-157600.546875,175891.625,6.0,-13.0,33.0,1.0,d5_e3_p2_ppo2_seed42,d5_e3_p2_ppo2,42,100,optimizer.Dense_Tracking_Reward_Scale=5.0;optimizer.Entropy_Coef=0.003;objective.Power=2.0;optimizer.PPO_Epochs=2,4.649390929666576
68526.7265625,-1400639.75,-730308.825,-661782.0984375,-1569304.0,112118.96875,-43592.2421875,168664.25,4.0,-39.0,51.0,1.0,d5_e3_p2_ep80_seed42,d5_e3_p2_ep80,42,100,optimizer.Dense_Tracking_Reward_Scale=5.0;optimizer.Entropy_Coef=0.003;objective.Power=2.0;optimizer.Epochs=80,5.960264809033348
111247.3828125,-1485294.0,-643430.2218749999,-532182.8390624999,-1569304.0,112118.96875,-871.5859375,84010.0,1.0,-14.0,36.0,1.0,d5_e3_p2_ep120_seed42,d5_e3_p2_ep120,42,100,optimizer.Dense_Tracking_Reward_Scale=5.0;optimizer.Entropy_Coef=0.003;objective.Power=2.0;optimizer.Epochs=120,9.086620737283374
-54410.41015625,-1591986.0,-774066.7062499999,-828477.1164062499,-1569304.0,112118.96875,-166529.37890625,-22682.0,12.0,-39.0,65.0,1.0,d5_e3_p2_ep150_seed42,d5_e3_p2_ep150,42,100,optimizer.Dense_Tracking_Reward_Scale=5.0;optimizer.Entropy_Coef=0.003;objective.Power=2.0;optimizer.Epochs=150,11.547133809516648
