policy,metric,net_pnl,total_ex_funding
ml,mean,119127.28,117666.74
ml,std,603623.25,603647.94
ml,min,-1571738.62,-1572556.50
ml,p5,-777846.21,-780065.45
ml,p95,1222649.01,1220991.35
ml,max,3782005.50,3780627.75
