policy,metric,net_pnl,total_ex_funding
ml,mean,-223836.39,-223385.12
ml,std,937523.56,935015.19
ml,min,-3249992.50,-3243266.50
ml,p5,-1590366.76,-1587986.41
ml,p95,1423226.01,1419993.75
ml,max,4101658.50,4100758.75
