policy,metric,net_pnl,total_ex_funding
ml,mean,63012.83,61901.83
ml,std,585735.38,586094.25
ml,min,-1802999.12,-1805611.38
ml,p5,-726819.38,-728245.01
ml,p95,1138796.87,1138496.05
ml,max,2956492.25,2957557.50
