policy,metric,net_pnl,total_ex_funding
ml,mean,116774.77,115284.96
ml,std,596029.25,596041.81
ml,min,-1978824.50,-1980010.50
ml,p5,-758421.31,-759884.61
ml,p95,1199235.61,1197801.21
ml,max,3367779.75,3366228.50
