policy,metric,net_pnl,total_ex_funding
ml,mean,79653.34,78704.56
ml,std,482181.06,483043.62
ml,min,-1385257.00,-1387630.62
ml,p5,-634866.04,-637180.66
ml,p95,907766.06,908587.76
ml,max,2907080.25,2914892.00
