policy,metric,net_pnl,total_ex_funding
ml,mean,37417.18,36533.47
ml,std,491333.50,492118.91
ml,min,-1292914.25,-1296126.00
ml,p5,-690802.82,-692463.03
ml,p95,908592.43,909589.43
ml,max,3133508.75,3137869.50
