policy,metric,net_pnl,total_ex_funding
ml,mean,90569.30,89345.92
ml,std,463476.19,464419.03
ml,min,-1608124.00,-1613963.00
ml,p5,-609437.72,-612506.27
ml,p95,923407.22,923300.28
ml,max,2048086.00,2053839.25
