policy,metric,net_pnl,total_ex_funding
ml,mean,28298.17,27559.23
ml,std,548230.62,548646.12
ml,min,-1323938.38,-1327187.50
ml,p5,-762644.13,-763005.28
ml,p95,974874.91,974944.01
ml,max,3250663.00,3255005.00
