policy,metric,net_pnl,total_ex_funding
ml,mean,-5747.64,-6553.38
ml,std,476809.72,477631.25
ml,min,-1440023.12,-1442193.88
ml,p5,-691375.63,-694358.04
ml,p95,809264.19,811390.37
ml,max,2341013.00,2344630.50
