policy,metric,net_pnl,total_ex_funding
ml,mean,57920.17,56935.79
ml,std,553682.06,554078.69
ml,min,-1513382.88,-1515173.50
ml,p5,-750828.64,-751590.72
ml,p95,1045793.68,1046149.60
ml,max,3614198.00,3615027.75
