policy,metric,net_pnl,total_ex_funding
ml,mean,38693.92,38067.96
ml,std,601539.25,601611.69
ml,min,-1535848.62,-1537241.88
ml,p5,-870047.05,-869947.91
ml,p95,1086069.29,1085963.71
ml,max,3673317.25,3673702.75
