mean_pnl,worst_pnl,p5_pnl,sortino_metric,n_eval_paths,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,override_Batch_Size,override_Simulation_Batches,seed,epochs,tag,elapsed_min
83480.3984375,-1254535.75,-573816.38125,-490335.9828125,2048,-1716057.5,112280.5625,-28800.1640625,461521.75,1.0,-13.0,26.0,1.0,2048,4,7,60,research_baseline,17.13235849761671
99937.7578125,-1195815.5,-625029.3624999999,-525091.6046874999,2048,-1427447.5,125769.5,-25831.7421875,231632.0,1.0,-10.0,20.0,1.0,2048,4,42,60,research_baseline,17.22530194785007
94616.75,-973469.4375,-515926.5890625,-421309.8390625,2048,-1406185.25,121422.0703125,-26805.3203125,432715.8125,3.0,-16.0,35.0,0.580078125,2048,4,123,60,research_baseline,17.23342391645007
102061.5234375,-990370.3125,-545225.525,-443164.0015625,2048,-1335018.5,131797.078125,-29735.5546875,344648.1875,0.0,-15.0,36.0,0.51611328125,2048,4,456,60,research_baseline,17.190818673183337
