policy,metric,net_pnl,total_ex_funding
ml,mean,-20816.66,-20817.64
ml,std,456042.22,456554.06
ml,min,-1637144.50,-1631639.50
ml,p5,-763828.79,-765940.84
ml,p95,704263.77,700026.84
ml,max,2204959.75,2224348.00
