policy,metric,net_pnl,total_ex_funding
ml,mean,28410.64,27688.77
ml,std,582837.50,583239.38
ml,min,-1886046.25,-1887918.00
ml,p5,-786644.72,-787497.49
ml,p95,1082346.13,1083151.05
ml,max,2812980.75,2815027.75
