policy,metric,net_pnl,total_ex_funding
ml,mean,-657400.38,-654845.75
ml,std,1391153.88,1388517.38
ml,min,-5940688.00,-5924581.50
ml,p5,-3310829.49,-3306621.85
ml,p95,1286613.81,1279648.62
ml,max,3174269.50,3173886.00
