policy,metric,net_pnl,total_ex_funding
ml,mean,131156.73,129667.22
ml,std,635804.50,635808.00
ml,min,-1900075.75,-1901594.25
ml,p5,-729709.25,-731323.07
ml,p95,1300157.59,1298729.29
ml,max,3239599.50,3238057.75
