tag,is_loser,A_greedy,B_greedy,delta,A_nohedge,B_nohedge,A_pass,A_breaches,A_churn,B_churn,A_bound,A_train_u_seeds,md
202204,True,-13.84,-13.84,0.0,-115.68,-115.68,True,0,368.8,368.8,647.84,"[-0.4713, -0.4659, -0.4443]",md_202204_garch.json
202001,True,-1.09,-1.09,0.0,-194.35,-194.35,True,0,243.8,243.8,810.1,"[-0.3131, -0.3528, -0.3532]",md_202001_garch.json
202105,True,0.46,0.46,0.0,-198.15,-198.15,True,0,150.0,150.0,768.28,"[-0.2535, -0.3481, -0.3296]",md_202104_garch.json
202202,True,4.49,4.49,0.0,-53.3,-53.3,True,0,137.5,137.5,671.06,"[-0.316, -0.3366, -0.3252]",md_202201_garch.json
202112,False,11.97,11.97,0.0,108.13,108.13,True,0,425.0,425.0,649.35,"[-0.4861, -0.6046, -0.545]",md_202110_garch.json
202106,True,26.56,26.56,0.0,-196.08,-196.08,True,0,243.8,243.8,808.98,"[-0.3776, -0.3802, -0.3351]",md_202104_garch.json
202102,False,58.05,58.05,0.0,123.87,123.87,True,0,137.5,137.5,765.09,"[0.053, 0.0289, 0.0327]",md_202101_garch.json
202011,False,76.48,76.48,0.0,352.15,352.15,True,0,125.0,125.0,685.55,"[-0.3032, -0.3521, -0.4263]",md_202010_garch.json
