policy,metric,net_pnl,total_ex_funding
ml,mean,88563.17,87321.23
ml,std,438177.53,439263.44
ml,min,-1316012.25,-1322727.75
ml,p5,-538453.06,-541893.42
ml,p95,879276.33,879947.98
ml,max,2557616.75,2562540.75
