policy,metric,net_pnl,total_ex_funding
ml,mean,31605.87,30476.43
ml,std,459439.56,460358.12
ml,min,-1828040.00,-1828958.00
ml,p5,-706408.82,-708400.18
ml,p95,781730.47,782143.81
ml,max,2615814.25,2627472.50
