policy,metric,net_pnl,total_ex_funding
ml,mean,-38009.35,-38625.98
ml,std,1498160.12,1492389.88
ml,min,-4740754.00,-4718103.50
ml,p5,-2476966.20,-2467670.44
ml,p95,2557318.45,2550343.60
ml,max,6538627.00,6502622.00
