policy,metric,net_pnl,total_ex_funding
ml,mean,2443.85,1750.80
ml,std,477104.19,477980.06
ml,min,-1466482.12,-1468406.88
ml,p5,-719776.96,-722579.03
ml,p95,828980.12,829638.23
ml,max,2761888.50,2771165.50
