seed,breach_1,breach_2,breach_3,config,ols_r2,t,train_hull_hi_basis,train_hull_lo_basis,v_t_abs_max,v_t_mean,vhat_query_abs_max
1,tradable_price_0:2.4,market_6:1.5,tradable_price_2:0.19,tanh,0.9972667694091797,29,0.0182923786342144,-0.014081967994570732,3.599114418029785,3.5480685234069824,3.624203681945801
1,tradable_price_0:2.4,market_6:1.4,market_1:0.39,tanh,0.9588150382041931,59,0.013363040052354336,-0.017013758420944214,3.599120855331421,3.5326337814331055,3.755189895629883
1,tradable_price_0:2.4,market_6:1.3,market_2:0.15,tanh,0.9712049961090088,89,0.02004864253103733,-0.019841857254505157,3.599120855331421,3.4852051734924316,3.680938482284546
1,tradable_price_0:2.4,market_6:1.3,tradable_price_1:0.81,tanh,0.9252410531044006,117,0.0,0.0,3.572857141494751,0.22512304782867432,0.0
2,market_6:5.4,tradable_price_0:2.2,tradable_price_1:0.41,tanh,1.0,29,0.015558164566755295,-0.015377253293991089,3.609236001968384,3.6042144298553467,3.610652446746826
2,tradable_price_0:2.2,market_6:1.5,market_1:0.41,tanh,0.9428697228431702,59,0.01531743910163641,-0.01462292205542326,3.6092381477355957,3.5986437797546387,3.6254639625549316
2,tradable_price_0:2.2,market_6:1.5,tradable_price_2:0.15,tanh,0.9799763560295105,89,0.02159007266163826,-0.022636935114860535,3.6092381477355957,3.401383876800537,4.044889450073242
2,tradable_price_0:2.2,market_6:1.4,tradable_price_1:0.72,tanh,0.9300382733345032,117,0.0,0.0,3.583400011062622,0.22075766324996948,0.0
3,tradable_price_0:2,market_6:1.6,market_2:0.27,tanh,0.9986574053764343,29,0.01510046236217022,-0.018293529748916626,3.6110410690307617,3.5721235275268555,3.6250009536743164
3,tradable_price_0:2,market_6:1.2,market_1:0.28,tanh,0.9472339153289795,59,0.014753527007997036,-0.015862025320529938,3.611053705215454,3.5578274726867676,3.7198128700256348
3,tradable_price_0:2,market_6:1.1,tradable_price_1:0.13,tanh,0.9742434024810791,89,0.01974242366850376,-0.021237457171082497,3.611053705215454,3.4433579444885254,3.9269227981567383
3,tradable_price_0:2,market_6:1.8,tradable_price_1:0.65,tanh,0.9243500232696533,117,0.0,0.0,3.5731632709503174,0.24221926927566528,0.0
4,market_6:2.2,tradable_price_0:2.1,tradable_price_2:0.21,tanh,0.9966373443603516,29,0.017177091911435127,-0.01481235958635807,3.607452869415283,3.3937947750091553,3.7270803451538086
4,market_6:2.1,tradable_price_0:2.1,market_1:0.4,tanh,0.9634904265403748,59,0.013116734102368355,-0.016155583783984184,3.6074752807617188,3.3631644248962402,4.062235355377197
4,tradable_price_0:2.1,market_6:1.2,cash:0.14,tanh,0.9796003103256226,89,0.020519254729151726,-0.022389527410268784,3.6074752807617188,3.370116710662842,4.119508743286133
4,tradable_price_0:2.1,market_6:1.5,tradable_price_1:0.75,tanh,0.9269940853118896,117,0.0,0.0,3.5917184352874756,0.3140125870704651,0.0
5,tradable_price_0:2.4,market_6:1.1,tradable_price_1:0.25,tanh,0.9999455213546753,29,0.01762320101261139,-0.012608440592885017,3.6127676963806152,3.586172580718994,3.619439125061035
5,tradable_price_0:2.4,market_6:2.3,market_1:0.41,tanh,0.9775356650352478,59,0.013588789850473404,-0.015820790082216263,3.6385130882263184,3.573249340057373,3.689734935760498
5,tradable_price_0:2.4,market_6:1.3,market_2:0.2,tanh,0.9950708150863647,89,0.02346666157245636,-0.025215093046426773,3.6385130882263184,3.5148606300354004,3.7010154724121094
5,tradable_price_0:2.4,market_6:1.8,tradable_price_1:0.8,tanh,0.9251125454902649,117,0.0,0.0,3.6059908866882324,0.30017074942588806,0.0
