config,n_seeds,V_0_dp_mean,V_0_dp_std,V_0_dp_cv,V_0_dp_min,V_0_dp_max,V_0_mpc_mean,V_0_hindsight_mean,V_0_textbook_mean,ladder_hold_rate,min_ols_r2_min
alpha_010,1,1.0373681783676147,0.0,0.0,1.0373681783676147,1.0373681783676147,0.023752013221383095,0.9839975833892822,0.031068194657564163,0.0,0.791358232498169
alpha_050,1,1.009609341621399,0.0,0.0,1.009609341621399,1.009609341621399,0.023752013221383095,0.9839975833892822,0.031068194657564163,0.0,0.7906040549278259
alpha_100,1,0.9845125079154968,0.0,0.0,0.9845125079154968,0.9845125079154968,0.023752013221383095,0.9839975833892822,0.031068194657564163,0.0,0.7897141575813293
baseline,5,1.7281051397323608,0.8839307209003886,0.5115028597376239,1.0542199611663818,3.2888641357421875,0.023713164031505585,0.9836422443389893,0.028363846987485886,0.0,0.6753690242767334
mlp,5,0.26781349182128905,1.3628288101746726,5.088723502713162,-1.787746787071228,2.1313743591308594,0.023713164031505585,0.9836422443389893,0.028363846987485886,0.0,0.08562678098678589
tanh,5,3.5440534591674804,0.0728674993227858,0.020560496663586676,3.40315318107605,3.605105400085449,0.023713164031505585,0.9836422443389893,0.028363846987485886,0.0,0.5966687202453613
tanh_mlp,3,0.6478807926177979,2.1605484776432218,3.334793224712539,-2.228281259536743,2.9791154861450195,0.023701077327132225,0.9846498966217041,0.031209034224351246,0.0,0.34891074895858765
