seed,V_0_dp,V_0_dp_std,V_0_hindsight,V_0_mpc,V_0_textbook,elapsed_s,ladder_holds,min_ols_r2,n_star_0_dp,t_outer
1,1.1928081512451172,0.0,0.9839975833892822,0.023752013221383095,0.031068194657564163,2250.7888490710175,False,0.41888225078582764,"[-8.916015625, -11.4599609375, -4.892578125]",119
2,2.9791154861450195,0.0,0.9827889204025269,0.023750225082039833,0.025617104023694992,2318.2374619460315,False,0.4277116060256958,"[-20.546875, -1.0009765625, -24.92431640625]",119
3,-2.228281259536743,0.0,0.9871631860733032,0.023600993677973747,0.036941803991794586,2305.30390234699,False,0.34891074895858765,"[-10.6494140625, -17.55859375, -19.501953125]",119
4,2.1128973960876465,0.0,0.9837714433670044,0.023705169558525085,0.022510292008519173,2310.6080076390062,False,0.32036900520324707,"[-3.45947265625, -14.052734375, -32.48779296875]",119
