policy,metric,net_pnl,total_ex_funding
ml,mean,118093.11,116600.50
ml,std,598138.75,598136.62
ml,min,-1975341.12,-1976527.12
ml,p5,-760581.99,-762202.94
ml,p95,1205592.70,1204304.58
ml,max,3379429.50,3377878.50
