tag,trade_date,calib_date,stale_days,h_trade,sigma_trade,h_ratio,lr_vol,H0_logged,h_ratio_logged,rv20,rv60,rv120,basis_sigma,nu
202001,2020-01-01,2020-01-01,0,0.00018145,0.21383498310613255,1.0640936220417812,0.2077,0.00018145,1.0640936220417812,0.19972963260283771,0.2247518379484531,0.22336218741459252,7.522,8.05
202002,2020-02-03,2020-01-01,33,0.00025266178013314206,0.25233067311278623,1.4817072955271384,0.2077,0.00018145,1.0640936220417812,0.2791883821670839,0.2429253339257558,0.23440657125096387,7.522,8.05
202003,2020-03-02,2020-01-01,61,0.0003239249458800457,0.28570804392206306,1.899622314307995,0.2077,0.00018145,1.0640936220417812,0.29974558885980396,0.2722116943693208,0.25709334567438474,7.522,8.05
202004,2020-04-01,2020-04-01,0,0.0016422,0.6432996191511386,8.295664576709363,0.2235,0.0016422,8.295664576709363,0.8734788738853234,0.551688933126895,0.42266343494906644,8.017,7.25
202005,2020-05-01,2020-04-01,30,0.0012349868682866628,0.557867986900341,6.23860480815181,0.2235,0.0016422,8.295664576709363,0.5142393798399895,0.6000213351908036,0.45404663054245475,8.017,7.25
202006,2020-06-01,2020-04-01,61,0.0010056086659844267,0.5034018115065495,5.079888069929952,0.2235,0.0016422,8.295664576709363,0.535343756236464,0.6607025697742192,0.4954223690015358,8.017,7.25
202007,2020-07-01,2020-07-01,0,0.00062015,0.39531987048464945,3.145746115320391,0.223,0.00062015,3.145746115320391,0.3881668938079515,0.48368557475771673,0.513855386638109,8.714,7.2
202008,2020-08-03,2020-07-01,33,0.0006235819922868312,0.39641223752084326,3.1631550912199455,0.223,0.00062015,3.145746115320391,0.4454925960891314,0.4509300642024517,0.532327025679214,8.714,7.2
202009,2020-09-01,2020-07-01,62,0.0003859126800203438,0.3118493151589829,1.9575639990758325,0.223,0.00062015,3.145746115320391,0.32568862741335874,0.3808947779287213,0.5373501241526685,8.714,7.2
202010,2020-10-01,2020-10-01,0,0.000576,0.38098818879330104,2.7666180632987363,0.2282,0.000576,2.7666180632987363,0.4497384879152857,0.40674459670448765,0.43752981175002204,9.006,7.11
202011,2020-11-02,2020-10-01,32,0.00040568993103052767,0.31974030496590977,1.9485921723740909,0.2282,0.000576,2.7666180632987363,0.30529715032889093,0.3556984303719744,0.4053543774835745,9.006,7.11
202012,2020-12-01,2020-10-01,61,0.0003683561508008479,0.304673185564161,1.769272188425033,0.2282,0.000576,2.7666180632987363,0.3169439154702607,0.34633154419936213,0.3658028967351281,9.006,7.11
202101,2021-01-01,2021-01-01,0,0.00030247,0.2760841176163526,1.4736494854749018,0.2269,0.00030247,1.4736494854749018,0.25445519253066134,0.30223608027591864,0.35472802094235295,9.046,7.33
202102,2021-02-01,2021-01-01,31,0.0003955053109868544,0.3157013436282578,1.9269223329201874,0.2269,0.00030247,1.4736494854749018,0.3802766110182495,0.3254455541940397,0.3448071018683823,9.046,7.33
202103,2021-03-01,2021-01-01,59,0.0004939465561351469,0.35280948420650066,2.4065331712257714,0.2269,0.00030247,1.4736494854749018,0.41717637995979184,0.35964795903761765,0.3611913694713679,9.046,7.33
202104,2021-04-01,2021-04-01,0,0.00037883,0.3089743678689221,1.7505055721663625,0.2336,0.00037883,1.7505055721663625,0.30628782945949623,0.3673686891767648,0.335704781763318,9.281,7.49
