param_set,n,z,p_surv_exact,p_surv_last_substep_oss,se,z_score,p_surv_bridge
A_equity_psi095,5,-2.0,0.02692373552531624,0.02692683577591248,5.313337935209843e-05,0.058348455039838744,0.02275013194817922
A_equity_psi095,5,2.0,0.981241896478503,0.9811958791570672,4.366523285676216e-05,-1.0538663926695466,0.9772498680518208
A_equity_psi095,21,-2.0,0.030432107165338174,0.030372402226272115,7.295047894595036e-05,-0.8184310772009346,0.02275013194817922
A_equity_psi095,21,2.0,0.9850896515043976,0.9850677637240306,5.008682690704155e-05,-0.4369967458243963,0.9772498680518208
A_equity_psi095,63,-2.0,0.03122472968334533,0.0311300464424019,7.983357814410466e-05,-1.1860077318909696,0.02275013194817922
A_equity_psi095,63,2.0,0.9855502048236051,0.9856470056623198,5.337599108786597e-05,1.8135651768097498,0.9772498680518208
B_equity_psi098,5,-2.0,0.02607653955033351,0.02608032453628116,5.209578505613959e-05,0.07265436049328862,0.02275013194817922
B_equity_psi098,5,2.0,0.9804973945594847,0.9804505559806443,4.455682473289432e-05,-1.0512099800904167,0.9772498680518208
B_equity_psi098,21,-2.0,0.02983606513256465,0.02977562311960399,7.20046208688394e-05,-0.8394185294129431,0.02275013194817922
B_equity_psi098,21,2.0,0.9846040755298042,0.9845764039137238,5.112133759200068e-05,-0.5412928805044759,0.9772498680518208
B_equity_psi098,63,-2.0,0.032655143300849176,0.03256757609492646,8.147122560825905e-05,-1.0748237217366237,0.02275013194817922
B_equity_psi098,63,2.0,0.9874933333790523,0.9875715653002228,4.972721745190343e-05,1.5732213700913282,0.9772498680518208
C_fx_psi099_lowskew,5,-2.0,0.025088482471580353,0.02509306096813592,5.1007365575930965e-05,0.08976147863880483,0.02275013194817922
C_fx_psi099_lowskew,5,2.0,0.9793821275794523,0.9793345026121342,4.5930193242662515e-05,-1.0368989101901198,0.9772498680518208
C_fx_psi099_lowskew,21,-2.0,0.02801987403415973,0.02795885456575334,6.965447711997506e-05,-0.8760308156687566,0.02275013194817922
C_fx_psi099_lowskew,21,2.0,0.9823192179226818,0.9822816005097359,5.503087824190228e-05,-0.6835691914744312,0.9772498680518208
C_fx_psi099_lowskew,63,-2.0,0.031032084519313385,0.03095149790365638,7.93030684867233e-05,-1.0161853405520704,0.02275013194817922
C_fx_psi099_lowskew,63,2.0,0.9852251654361817,0.9853142331611483,5.435789524126794e-05,1.6385425626086647,0.9772498680518208
