param_set,h_state,n,z,barrier_logret,barrier,p_surv_true,p_surv_bridge,p_surv_varmatch,p_surv_edgeworth,p_surv_mc,mc_se,p_ko_true,p_ko_bridge,p_ko_varmatch,p_ko_edgeworth,abs_err_bridge,rel_err_bridge,rel_err_varmatch,rel_err_edgeworth,mc_z
A_equity_psi095,calm,5,-3.0,-0.06216128604632896,DOWN,0.0029858174771517643,0.0013498980316300957,0.001359138148186978,0.0030137832726428197,0.0029773,1.2182848257143712e-05,0.0029858174771517643,0.0013498980316300957,0.001359138148186978,0.0030137832726428197,-0.0016359194455216686,-0.5478966675090292,-0.5448019985858314,0.009366210662593013,0.6991367676905798
A_equity_psi095,calm,5,-2.5,-0.05173807976579,DOWN,0.009714191603096056,0.006209665325776139,0.006240090784171569,0.009862917902122579,0.009720099999999999,2.193811766910621e-05,0.009714191603096056,0.006209665325776139,0.006240090784171569,0.009862917902122579,-0.003504526277319917,-0.3607635530066107,-0.35763149018156487,0.015310208517929694,-0.2693210508330439
A_equity_psi095,calm,5,-2.0,-0.04131487348525105,DOWN,0.02808026829304633,0.02275013194817922,0.022825047121922442,0.028256163439322555,0.028122249999999998,3.6967141099567746e-05,0.02808026829304633,0.02275013194817922,0.022825047121922442,0.028256163439322555,-0.00533013634486711,-0.18981785676837856,-0.18714996296617528,0.00626401231072938,-1.1356492740565234
A_equity_psi095,calm,5,-1.5,-0.030891667204712096,DOWN,0.07128828902959417,0.06680720126885809,0.06694190369477418,0.0712922564230438,0.07138454999999999,5.757117305376773e-05,0.07128828902959417,0.06680720126885809,0.06694190369477418,0.0712922564230438,-0.00448108776073608,-0.0628586801806371,-0.06096913523924883,5.5652807826464706e-05,-1.6720342021852577
A_equity_psi095,calm,5,-1.0,-0.02046846092417314,DOWN,0.15722192693339054,0.15865525393145707,0.15882295281221037,0.1570515210826734,0.157324,8.141657253061512e-05,0.15722192693339054,0.15865525393145707,0.15882295281221037,0.1570515210826734,0.0014333269980665309,0.009116584601292806,0.010183222595268961,-0.0010838555031153067,-1.25371362901657
A_equity_psi095,calm,5,-0.5,-0.010045254643634191,DOWN,0.29863230254664974,0.3085375387259869,0.30865950725468916,0.29851979010997465,0.29868154999999996,0.00010234033715088642,0.29863230254664974,0.3085375387259869,0.30865950725468916,0.29851979010997465,0.00990523617933714,0.03316866961433226,0.033577093377140786,-0.0003767590971091224,-0.4812125377075151
A_equity_psi095,calm,5,0.5,0.010801157917443713,UP,0.6839778615781649,0.6914624612740131,0.6913404927453108,0.6838781002681279,0.6840503,0.00010395323416714481,0.31602213842183513,0.3085375387259869,0.30865950725468916,0.3161218997318721,-0.007484599695848249,-0.02368378282997882,-0.023297833512277953,0.0003156782323389253,-0.6968366344298415
A_equity_psi095,calm,5,1.0,0.021224364197982667,UP,0.8430699300890425,0.8413447460685429,0.8411770471877896,0.842926134728749,0.8430360499999999,8.13407262743305e-05,0.15693006991095748,0.15865525393145707,0.15882295281221037,0.157073865271251,0.0017251840204995927,0.010993329840982462,0.012061951557957737,0.000916302148945127,0.41652061143797087
A_equity_psi095,calm,5,1.5,0.03164757047852162,UP,0.939412262718881,0.9331927987311419,0.9330580963052257,0.9394832058918139,0.9393674,5.336491856316026e-05,0.06058773728111899,0.06680720126885809,0.06694190369477426,0.06051679410818611,0.006219463987739093,0.10265219113368787,0.10487545333097338,-0.001170916362228769,0.8406781100574003
A_equity_psi095,calm,5,2.0,0.04207077675906057,UP,0.9823246355934039,0.9772498680518208,0.9771749528780775,0.9825444193272342,0.9823259999999999,2.9463223340362415e-05,0.017675364406596117,0.02275013194817921,0.02282504712192246,0.017455580672765758,0.005074767541583092,0.28710964169368314,0.2913480365589847,-0.012434466909680208,-0.046308802681788705
