schedule,n,fixings,z,barrier,bridge_lo,bridge_hi,edgeworth_lo,edgeworth_hi
"weekly, 1y",5,52,-3.0,DOWN,3.2645050925999453,6.359360486407062,-0.05553910670568207,-0.003278782617488485
"weekly, 1y",5,52,-2.0,DOWN,13.26658452455356,24.92649130242206,-0.4087050467535769,-0.13244574508041174
"weekly, 1y",5,52,2.0,UP,-19.102343828166457,-10.714858259843163,0.13868997259842697,0.4940998694257237
"weekly, 1y",5,52,3.0,UP,-3.308689485041494,-1.9487844993846926,-0.04522189870408422,-0.005327701068458257
"monthly, 1y",21,12,-3.0,DOWN,1.7840314719294703,2.890469944975993,-0.10539403325561247,-0.02740875228909312
"monthly, 1y",21,12,-2.0,DOWN,6.703539398855307,9.933167232451968,-0.19037553538667762,-0.07641184711832949
"monthly, 1y",21,12,2.0,UP,-9.143005956852013,-6.0199312284253015,0.10650837548729086,0.32762292730845743
"monthly, 1y",21,12,3.0,UP,-1.2935717973549532,-0.9904820934908298,0.003330373342880222,0.03290960380768482
"monthly, 2y",21,24,-3.0,DOWN,3.5998906267872943,5.864488054980077,-0.21067698748875596,-0.05480999218115956
"monthly, 2y",21,24,-2.0,DOWN,13.856453202430675,20.853012577582497,-0.3803886423286218,-0.1527653065328649
"monthly, 2y",21,24,2.0,UP,-17.45006633443372,-11.67746673690091,0.2131301913151029,0.6563192224418923
"monthly, 2y",21,24,3.0,UP,-2.570410314760785,-1.971153639206391,0.006660857599616321,0.06583003803559695
