world,tag,greedy,nohedge,bound,churn,H_exact,H_fwd,recon,H_ramp,ramp_pnl,gap_vs_ramp,gap_pre,gap_avg,gap_post,gap_overshort,gap_undercover,u_post_max,u_post_mean,u_pre_mean,u_mean,dev_mean,basis0,basis_avg,basis_move,P0,dP_pct,vs_nohedge,vs_ramp,mech
garch,202108,84.19,-5.65,730.94,131.2,89.84,100.67,-10.83,27.04,21.39,73.64,-26.07,90.22,9.49,77.39,-3.76,1.0,1.0,0.379,0.458,0.391,-3.37,11.51,14.89,1053.9,-2.44,89.84,62.8,OVER-HOLD(post-fixing)+basis
garch,202109,-31.88,-54.74,631.75,287.5,22.86,20.89,1.97,62.71,7.97,-41.82,5.78,-45.45,-2.15,-35.44,-6.39,0.125,0.062,0.502,0.568,0.279,7.53,2.36,-5.17,998.0,-5.46,22.86,-39.85,over-short
garch,202110,-3.85,34.96,605.85,425.0,-38.81,-39.93,1.12,-19.78,15.18,-20.14,32.59,-52.73,0.0,-48.36,28.22,0.0,0.0,0.663,0.64,0.207,-11.22,-5.84,5.38,971.7,2.38,-38.81,-19.03,over-short
garch,202111,-79.54,37.89,607.29,137.5,-117.43,-110.97,-6.46,-24.0,13.89,-86.97,-20.81,-2.46,-63.7,-68.83,-18.15,1.0,1.0,0.284,0.419,0.43,-3.44,-1.86,1.58,1019.9,2.86,-117.43,-93.43,OVER-HOLD(post-fixing)+over-short+under-cover
garch,202112,218.71,108.13,649.35,287.5,110.58,62.53,48.05,-114.86,-6.73,177.39,72.53,107.25,-2.38,59.8,117.59,1.0,1.0,0.541,0.625,0.223,11.1,-0.84,-11.94,934.4,12.15,110.58,225.44,OVER-HOLD(post-fixing)
garch,202201,-0.85,14.59,657.46,431.2,-15.44,-21.69,6.25,-9.33,5.26,-12.36,31.81,-39.16,-5.0,-20.63,8.28,0.125,0.125,0.188,0.212,0.628,6.75,7.92,1.17,953.7,0.59,-15.44,-6.11,over-short
garch,202202,-117.75,-53.3,671.06,225.0,-64.45,-52.63,-11.82,71.8,18.5,-124.42,-58.12,-46.21,-20.1,-73.96,-50.47,1.0,1.0,0.23,0.312,0.536,-6.19,6.45,12.63,1024.7,-7.37,-64.45,-136.25,OVER-HOLD(post-fixing)+over-short+under-cover+basis
garch,202203,23.77,-99.72,764.6,381.2,123.49,122.23,1.26,103.67,3.95,18.56,-27.45,46.01,0.0,32.81,-14.25,0.0,0.0,0.348,0.434,0.43,10.84,4.83,-6.01,1052.2,-9.65,123.49,19.82,market (little deviation)
garch,202204,-91.03,-115.68,647.84,400.0,24.65,30.65,-6.0,135.4,19.72,-104.75,-81.82,-22.94,0.0,-5.85,-98.9,0.0,0.0,0.277,0.268,0.564,6.96,8.5,1.55,984.5,-12.19,24.65,-110.75,under-cover
garch,202205,88.44,-0.87,687.6,175.0,89.31,78.45,10.86,37.99,37.12,40.46,-36.5,76.96,0.0,59.3,-18.84,0.0,0.0,0.15,0.281,0.57,-19.42,10.8,30.21,941.4,-4.34,89.31,51.32,under-cover+basis
garch,202206,-33.82,-74.35,661.69,425.0,40.53,41.67,-1.14,122.27,47.92,-80.6,-144.38,63.77,0.0,36.95,-117.56,0.0,0.0,0.248,0.321,0.528,-34.13,4.12,38.24,997.1,-12.31,40.53,-81.74,under-cover+basis
garch,202207,-62.27,10.84,619.8,400.0,-73.11,-57.39,-15.72,-41.44,-30.6,-15.96,-16.34,7.42,-7.05,-11.81,-4.15,0.5,0.344,0.662,0.541,0.303,33.73,-22.46,-56.19,877.3,6.2,-73.11,-31.67,OVER-HOLD(post-fixing)+basis
garch,202208,8.95,99.31,636.88,293.8,-90.36,-88.59,-1.77,-96.33,2.98,7.74,-1.09,1.9,6.93,-16.29,24.04,0.25,0.25,0.303,0.305,0.558,-7.85,-13.35,-5.49,901.4,10.94,-90.36,5.97,OVER-HOLD(post-fixing)+over-short
garch,202209,-42.75,167.5,608.84,387.5,-210.25,-190.39,-19.86,-207.52,-40.02,17.13,46.52,-29.52,0.13,-23.81,40.94,0.125,0.125,0.375,0.353,0.498,42.87,-10.53,-53.4,803.6,26.92,-210.25,-2.73,over-short+basis
garch,202210,139.67,207.83,675.46,150.0,-68.16,-64.9,-3.26,-157.6,50.23,92.7,13.93,57.38,21.4,78.78,13.93,1.0,1.0,0.672,0.762,0.082,-44.84,4.66,49.51,915.3,14.87,-68.16,89.44,OVER-HOLD(post-fixing)+basis
garch,202211,44.44,43.84,654.87,300.0,0.6,-19.78,20.38,-7.46,36.38,-12.32,11.71,-6.82,-17.21,-24.03,11.71,1.0,1.0,0.459,0.602,0.251,-22.31,7.99,30.31,955.8,-0.36,0.6,8.06,OVER-HOLD(post-fixing)+over-short+basis
garch,202212,-27.4,-59.89,678.57,225.0,32.49,18.5,13.99,71.27,11.38,-52.77,-25.46,5.27,-32.59,-44.0,-8.77,1.0,1.0,0.504,0.626,0.212,-16.6,-3.83,12.77,1054.6,-7.66,32.49,-38.78,OVER-HOLD(post-fixing)+over-short+basis
garch,202301,-10.04,24.47,607.03,200.0,-34.51,-6.8,-27.71,36.16,60.63,-42.96,-66.67,-15.88,39.6,11.84,-54.8,1.0,1.0,0.806,0.837,0.0,-48.22,-2.76,45.46,1070.7,-1.86,-34.51,-70.67,OVER-HOLD(post-fixing)+under-cover+basis
garch,202302,-13.36,61.45,625.74,250.0,-74.81,-74.62,-0.19,-56.33,5.12,-18.29,40.22,-58.51,0.0,-7.39,-10.9,0.0,0.0,0.52,0.398,0.459,4.83,-0.89,-5.72,996.2,6.38,-74.81,-18.48,market (little deviation)
garch,202303,154.0,12.24,594.21,81.2,141.76,135.03,6.73,-4.63,7.61,139.66,76.92,62.74,0.0,62.74,76.92,1.0,1.0,0.556,0.668,0.196,3.64,0.53,-3.11,958.9,1.27,141.76,146.39,OVER-HOLD(post-fixing)
garch,202304,102.26,-41.09,580.73,168.8,143.35,147.83,-4.48,44.19,3.1,103.65,74.56,17.18,11.91,29.09,74.56,1.0,1.0,0.754,0.822,0.018,4.02,2.02,-2.01,984.5,-4.05,143.35,99.16,OVER-HOLD(post-fixing)
garch,202305,25.39,-141.85,590.67,450.0,167.24,110.29,56.95,165.64,23.79,-55.35,-35.54,-19.82,0.0,-6.59,-48.77,1.0,1.0,0.546,0.543,0.313,-13.84,1.74,15.59,1084.3,-14.81,167.24,1.6,OVER-HOLD(post-fixing)+under-cover+basis
garch,202306,21.15,-80.88,559.36,187.5,102.03,109.6,-7.57,96.19,15.31,13.41,-40.46,41.27,12.59,53.87,-40.46,1.0,1.0,0.537,0.659,0.18,-1.76,4.6,6.36,1006.3,-8.63,102.03,5.84,OVER-HOLD(post-fixing)+under-cover
garch,202307,17.41,-10.19,456.39,250.0,27.6,8.85,18.75,22.8,12.61,-13.95,3.91,-3.96,-13.9,-17.86,3.91,1.0,1.0,0.736,0.78,0.066,-2.94,5.67,8.6,907.4,-2.34,27.6,4.8,OVER-HOLD(post-fixing)+over-short
garch,202308,83.73,-28.36,535.92,200.0,112.09,75.91,36.18,38.53,10.17,37.37,51.94,-25.57,11.0,-14.57,51.94,1.0,1.0,0.729,0.8,0.057,2.95,0.8,-2.15,933.6,-2.81,112.09,73.56,OVER-HOLD(post-fixing)
garch,202309,-20.46,-32.55,548.63,175.0,12.09,14.08,-1.99,21.48,-11.07,-7.4,-1.4,-37.99,31.99,-6.0,-1.4,1.0,1.0,0.54,0.665,0.18,15.1,-1.66,-16.76,964.4,-1.68,12.09,-9.39,OVER-HOLD(post-fixing)+basis
garch,202310,46.25,21.05,516.71,175.0,25.2,31.14,-5.94,-36.71,-15.66,67.86,40.62,6.53,20.7,27.24,40.62,1.0,1.0,0.72,0.796,0.054,29.62,8.52,-21.1,873.9,5.46,25.2,61.91,OVER-HOLD(post-fixing)+basis
garch,202311,-19.87,-30.98,568.83,187.5,11.11,20.73,-9.62,38.1,7.12,-17.37,-10.49,9.22,-16.11,-6.89,-10.49,1.0,1.0,0.431,0.58,0.275,2.95,2.71,-0.24,924.1,-3.55,11.11,-26.99,OVER-HOLD(post-fixing)
garch,202312,35.12,-24.23,526.54,243.8,59.35,49.42,9.93,31.29,7.06,18.13,45.41,4.81,-32.09,-27.28,45.41,1.0,1.0,0.715,0.798,0.027,2.06,0.2,-1.86,930.9,-2.45,59.35,28.06,OVER-HOLD(post-fixing)+over-short
hmm,202001,-88.0,-194.35,810.1,200.0,106.35,103.98,2.37,220.07,25.72,-116.09,-161.62,45.53,0.0,0.0,-116.09,0.0,0.0,0.34,0.249,0.604,-16.87,-2.78,14.1,969.4,-21.6,106.35,-113.72,under-cover+basis
hmm,202002,0.08,-172.13,892.94,193.8,172.21,161.93,10.28,148.79,-23.34,13.14,-24.52,33.27,4.4,1.56,11.59,0.375,0.25,0.68,0.569,0.262,1.06,-40.03,-41.09,965.4,-13.78,172.21,23.42,OVER-HOLD(post-fixing)+basis
hmm,202003,-61.53,-49.94,845.94,300.0,-11.59,-29.66,18.07,27.57,-22.37,-57.23,-13.11,-44.12,0.0,-17.55,-39.68,0.0,0.0,0.269,0.382,0.467,19.44,-11.45,-30.89,856.1,-2.48,-11.59,-39.16,over-short+under-cover+basis
hmm,202004,89.39,135.4,628.43,131.2,-46.01,-53.83,7.82,-163.6,-28.2,109.78,56.9,52.88,0.0,0.0,109.78,0.0,0.0,0.565,0.408,0.439,14.13,-18.84,-32.96,710.9,23.4,-46.01,117.59,basis
hmm,202005,203.44,169.58,746.71,50.0,33.86,30.93,2.93,-148.8,20.78,179.74,155.87,23.87,0.0,0.0,179.74,0.0,0.0,0.061,0.044,0.803,-34.59,-9.82,24.77,814.6,16.55,33.86,182.66,basis
hmm,202006,89.91,87.3,751.38,87.5,2.61,-19.39,22.0,-8.36,78.94,-11.03,15.33,-40.97,14.61,21.57,-32.6,1.0,1.0,0.252,0.412,0.445,-68.24,7.99,76.23,900.7,0.41,2.61,10.97,OVER-HOLD(post-fixing)+under-cover+basis
hmm,202007,41.68,62.96,699.5,137.5,-21.28,4.56,-25.84,-36.01,26.95,40.57,33.43,17.75,-10.61,7.14,33.43,1.0,1.0,0.939,0.956,-0.114,-10.45,6.25,16.7,822.5,5.9,-21.28,14.73,OVER-HOLD(post-fixing)+basis
hmm,202008,-103.2,1.36,637.15,225.0,-104.56,-119.27,14.71,12.23,13.59,-131.5,0.0,-63.38,-68.12,-131.6,0.1,1.0,0.875,1.0,0.938,-0.092,-17.8,-8.32,9.48,924.3,-0.9,-104.56,-116.79,OVER-HOLD(post-fixing)+over-short
hmm,202009,17.52,89.72,605.54,225.0,-72.2,-41.63,-30.57,-73.85,15.87,32.22,31.65,-7.13,7.69,-20.76,52.98,1.0,1.0,0.869,0.872,-0.022,-17.14,-11.87,5.27,947.1,9.1,-72.2,1.65,OVER-HOLD(post-fixing)+over-short
hmm,202010,-9.17,210.46,625.76,106.2,-219.63,-216.62,-3.01,-179.48,30.98,-37.13,-21.67,-19.94,4.48,-18.35,-18.79,0.125,0.125,0.9,0.782,0.053,-17.84,-2.3,15.54,895.8,21.84,-219.63,-40.15,over-short+under-cover+basis
hmm,202011,161.03,352.15,685.55,112.5,-191.12,-202.69,11.57,-357.06,-4.91,154.37,23.36,75.8,55.21,108.14,46.23,1.0,1.0,0.877,0.889,-0.046,-1.83,-8.42,-6.59,855.8,41.48,-191.12,165.94,OVER-HOLD(post-fixing)
hmm,202012,-10.65,213.82,708.43,356.2,-224.47,-229.09,4.62,-177.44,36.38,-51.65,14.79,-66.44,0.0,-7.85,-43.8,0.125,0.125,0.641,0.64,0.211,-30.19,-1.0,29.19,1001.2,18.12,-224.47,-47.03,under-cover+basis
hmm,202101,-7.93,142.05,758.24,462.5,-149.98,-148.38,-1.6,-128.74,13.31,-19.64,6.79,-25.58,-0.85,-26.43,6.79,0.5,0.375,0.592,0.649,0.198,-9.31,-5.67,3.64,1074.3,12.53,-149.98,-21.24,OVER-HOLD(post-fixing)+over-short
hmm,202102,245.07,123.87,765.09,50.0,121.2,117.57,3.63,-75.73,48.14,193.3,142.44,15.56,35.29,50.86,142.44,1.0,1.0,0.831,0.878,-0.033,-38.57,3.58,42.15,1137.1,6.65,121.2,196.93,OVER-HOLD(post-fixing)+basis
