policy,metric,net_pnl,total_ex_funding
ml,mean,81447.35,80296.94
ml,std,486879.53,487753.69
ml,min,-1238104.25,-1241474.12
ml,p5,-592877.48,-594350.12
ml,p95,972645.08,972034.86
ml,max,3100235.00,3106149.50
