policy,metric,net_pnl,total_ex_funding
ml,mean,18366.11,17160.58
ml,std,641208.75,641262.88
ml,min,-1931316.12,-1933160.50
ml,p5,-871745.08,-873114.78
ml,p95,1151144.18,1150278.40
ml,max,2967369.75,2965711.25
