mean_pnl,worst_pnl,p5_pnl,sortino_metric,n_eval_paths,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,override_Batch_Size,override_Simulation_Batches,override_Position_Bounds_Penalty,seed,epochs,tag,elapsed_min
84078.328125,-832544.0625,-430429.3046875,-346350.9765625,2048,-1716057.5,112280.5625,-28202.234375,883513.4375,0.0,-21.0,42.0,1.0,2048,4,0.05,7,60,h10_pbp_0.05_4seed,17.25922078491664
88113.171875,-1073724.75,-546536.840625,-458423.66874999995,2048,-1427447.5,125769.5,-37656.328125,353722.75,0.0,-13.0,28.0,1.0,2048,4,0.05,42,60,h10_pbp_0.05_4seed,17.24611746971665
95672.171875,-906549.5625,-465153.790625,-369481.61875,2048,-1406185.25,121422.0703125,-25749.8984375,499635.6875,1.0,-21.0,45.0,0.3203125,2048,4,0.05,123,60,h10_pbp_0.05_4seed,17.278358850616737
109791.125,-869529.0625,-483074.2359375,-373283.1109375,2048,-1335018.5,131797.078125,-22005.953125,465489.4375,1.0,-16.0,37.0,0.9931640625,2048,4,0.05,456,60,h10_pbp_0.05_4seed,17.227755133400084
