policy,metric,net_pnl,total_ex_funding
ml,mean,74290.95,73147.50
ml,std,398636.25,399974.91
ml,min,-1220933.75,-1225016.75
ml,p5,-469967.21,-473375.76
ml,p95,800942.31,801967.92
ml,max,2336083.25,2338782.75
