policy,metric,net_pnl,total_ex_funding
ml,mean,72078.59,70663.66
ml,std,580573.75,580729.44
ml,min,-1487240.50,-1489400.88
ml,p5,-763722.45,-765081.11
ml,p95,1083241.46,1082090.67
ml,max,2876373.00,2875575.50
