policy,metric,net_pnl,total_ex_funding
ml,mean,97473.45,96167.64
ml,std,574392.69,574621.06
ml,min,-1603729.12,-1604548.38
ml,p5,-766090.05,-767822.12
ml,p95,1125133.86,1124609.70
ml,max,3484581.00,3485392.75
