policy,metric,net_pnl,total_ex_funding
ml,mean,72067.51,71158.58
ml,std,574933.75,575192.94
ml,min,-1561140.75,-1562506.38
ml,p5,-770954.62,-772100.12
ml,p95,1064148.27,1063692.27
ml,max,2857059.00,2858225.75
