policy,metric,net_pnl,total_ex_funding
ml,mean,127288.75,125825.90
ml,std,585422.81,585586.00
ml,min,-1529567.50,-1531086.12
ml,p5,-743928.80,-745032.68
ml,p95,1167925.91,1165995.17
ml,max,3719786.75,3720108.00
