policy,metric,net_pnl,total_ex_funding
ml,mean,74553.75,73652.34
ml,std,508095.81,508000.09
ml,min,-1377858.25,-1380029.25
ml,p5,-728993.22,-730623.24
ml,p95,1004947.06,1007708.72
ml,max,2093588.75,2095871.12
