policy,metric,net_pnl,total_ex_funding
ml,mean,51690.50,51406.40
ml,std,532660.69,533201.88
ml,min,-1786153.75,-1789121.00
ml,p5,-722382.01,-723606.45
ml,p95,1019493.03,1020641.73
ml,max,2921819.50,2923440.25
