policy,metric,net_pnl,total_ex_funding
ml,mean,78608.51,77267.02
ml,std,509697.84,510304.03
ml,min,-1421725.12,-1424395.00
ml,p5,-670881.12,-672958.35
ml,p95,995150.75,995048.61
ml,max,3155644.50,3160355.75
