policy,metric,net_pnl,total_ex_funding
ml,mean,110789.84,109292.16
ml,std,610363.19,610363.69
ml,min,-1569304.00,-1570730.62
ml,p5,-782859.47,-784261.80
ml,p95,1219435.79,1218064.24
ml,max,3829221.50,3827437.50
