policy,metric,net_pnl,total_ex_funding
ml,mean,48574.70,47414.67
ml,std,550125.69,550480.81
ml,min,-1456999.62,-1459210.75
ml,p5,-749916.93,-751873.91
ml,p95,1018395.95,1018004.36
ml,max,2810355.00,2810452.75
