mean_pnl,worst_pnl,p5_pnl,sortino_metric,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,row_tag,row_name,seed,epochs,overrides,elapsed_min
-10767.6396484375,-1344092.875,-733017.125,-743784.7646484375,-1551628.875,92839.2734375,-103606.9130859375,207536.0,4.0,-12.0,27.0,1.0,d5_ent_sched_seed7,d5_ent_sched,7,100,optimizer.Dense_Tracking_Reward_Scale=5.0;optimizer.Entropy_Coef=0.01;objective.Power=2.0;optimizer.Entropy_Schedule=linear;optimizer.Entropy_Coef_Min=0.001,6.454946238399983
72067.5078125,-1561140.75,-770954.6249999999,-698887.1171874999,-1551628.875,92839.2734375,-20771.765625,-9511.875,3.0,-14.0,18.0,1.0,d5_ent_sched_aggressive_seed7,d5_ent_sched_aggressive,7,100,optimizer.Dense_Tracking_Reward_Scale=5.0;optimizer.Entropy_Coef=0.03;objective.Power=2.0;optimizer.Entropy_Schedule=linear;optimizer.Entropy_Coef_Min=0.001,6.482832269650074
972.9765625,-1046550.875,-631049.06875,-630076.0921875,-1551628.875,92839.2734375,-91866.296875,505078.0,3.0,-14.0,33.0,1.0,d5_e3_p2_entfloor_seed7,d5_e3_p2_entfloor,7,100,optimizer.Dense_Tracking_Reward_Scale=5.0;optimizer.Entropy_Coef=0.003;objective.Power=2.0;optimizer.Entropy_Floor_H_Min=8.0;optimizer.Entropy_Floor_Coef=0.01,6.482187243899898
