mean_pnl,worst_pnl,p5_pnl,sortino_metric,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,seed,epochs,elapsed_min
26440.3984375,-1147652.0,-572758.471875,-546318.0734375,-1544304.0,137118.96875,-110678.5703125,396652.0,2.0,-18.0,48.0,1.0,42,60,4.451826534766587
28143.853515625,-925938.1875,-489392.62656249997,-461248.77304687497,-1526628.875,117839.2734375,-89695.419921875,600690.6875,8.0,-22.0,59.0,1.0,7,60,4.657680985366702
