policy,metric,net_pnl,total_ex_funding
ml,mean,98439.94,97251.27
ml,std,545669.44,546128.06
ml,min,-1492401.75,-1494013.25
ml,p5,-695879.85,-698129.52
ml,p95,1095471.51,1094821.80
ml,max,3283473.50,3287263.00
