policy,metric,net_pnl,total_ex_funding
ml,mean,88466.52,87202.77
ml,std,459062.47,460050.78
ml,min,-1264026.75,-1268369.88
ml,p5,-555662.89,-557847.88
ml,p95,931219.51,929711.33
ml,max,2780882.50,2783504.00
