policy,metric,net_pnl,total_ex_funding
ml,mean,26334.62,25874.95
ml,std,477627.41,478518.81
ml,min,-1782415.50,-1786435.62
ml,p5,-672218.51,-674423.61
ml,p95,850833.90,852226.77
ml,max,2142815.50,2147858.25
