policy,metric,net_pnl,total_ex_funding
ml,mean,39335.16,39429.01
ml,std,601041.75,601174.44
ml,min,-1591862.50,-1591615.50
ml,p5,-830203.50,-830235.64
ml,p95,1129163.76,1129813.81
ml,max,3733202.50,3733702.50
