policy,metric,net_pnl,total_ex_funding
ml,mean,81903.81,80698.67
ml,std,592796.31,592914.38
ml,min,-1540046.00,-1541612.25
ml,p5,-795349.57,-796639.90
ml,p95,1151234.79,1150245.19
ml,max,3713269.75,3712574.00
