policy,metric,net_pnl,total_ex_funding
ml,mean,82947.43,81719.60
ml,std,592697.25,592779.62
ml,min,-1633915.25,-1634644.25
ml,p5,-792999.62,-793755.83
ml,p95,1134866.14,1133203.49
ml,max,3645148.50,3644786.75
