policy,metric,net_pnl,total_ex_funding
ml,mean,67953.29,66803.96
ml,std,562354.31,562917.88
ml,min,-1665654.50,-1669161.25
ml,p5,-692349.29,-694051.43
ml,p95,1093359.16,1093459.74
ml,max,2745322.00,2747486.25
