mean_pnl,worst_pnl,median_pnl,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,row_tag,seed,epochs,overrides,elapsed_min,source,config
56675.85546875,-1622321.5,-9614.21875,-1569304.0,112118.96875,-55443.11328125,-53017.5,0.0,-8.0,21.0,1.0,vc05_x_fp20_seed42,42,100,optimizer.Value_Coef=0.05;objective.Floor_Penalty=20,7.72076219123331,20260510_183149_symlog_phaseB_g1,vc05_x_fp20@100ep
-5747.6376953125,-1440023.125,-64275.419921875,-1551628.875,92839.2734375,-98586.9111328125,111605.75,0.0,-27.0,46.0,1.0,vc03_validate_seed7,7,100,optimizer.Value_Coef=0.03,6.833627773499999,20260510_191411_symlog_phaseC_g0,vc03@100ep
-57978.234375,-1706948.75,-110976.234375,-1925075.75,106156.734375,-164134.96875,218127.0,0.0,-50.0,100.0,1.0,vc03_validate_seed123,123,100,optimizer.Value_Coef=0.03,6.8930045862999885,20260510_191411_symlog_phaseC_g0,vc03@100ep
114617.34375,-2206881.25,64157.107421875,-2206881.25,114617.34375,0.0,0.0,0.0,0.0,0.0,0.0,vc03_validate_seed456,456,100,optimizer.Value_Coef=0.03,6.832222872666656,20260510_191411_symlog_phaseC_g0,vc03@100ep
74827.140625,-1539448.875,14505.83544921875,-1551628.875,92839.2734375,-18012.1328125,12180.0,0.0,-12.0,17.0,1.0,vc05_x_postdeal5_val_seed7,7,100,optimizer.Value_Coef=0.05;objective.Post_Deal_Trade_Penalty=5,6.863098039549974,20260510_191411_symlog_phaseC_g0,vc05_x_postdeal5@100ep
80685.2890625,-1805023.75,-16280.7607421875,-1925075.75,106156.734375,-25471.4453125,120052.0,0.0,-13.0,20.0,1.0,vc05_x_postdeal5_val_seed123,123,100,optimizer.Value_Coef=0.05;objective.Post_Deal_Trade_Penalty=5,6.797537536350016,20260510_191411_symlog_phaseC_g0,vc05_x_postdeal5@100ep
109214.015625,-2205201.5,60395.060546875,-2206881.25,114617.34375,-5403.328125,1679.75,0.0,-50.0,50.0,1.0,vc05_x_postdeal5_val_seed456,456,100,optimizer.Value_Coef=0.05;objective.Post_Deal_Trade_Penalty=5,6.841750845666684,20260510_191411_symlog_phaseC_g0,vc05_x_postdeal5@100ep
48574.703125,-1456999.625,-995.7265625,-1551628.875,92839.2734375,-44264.5703125,94629.25,0.0,-14.0,19.0,1.0,dense1_validate_seed7,7,100,optimizer.Dense_Tracking_Reward_Scale=1,6.775873025100009,20260510_191411_symlog_phaseC_g0,dense1@100ep
100990.484375,-1931310.5,-1719.45849609375,-1925075.75,106156.734375,-5166.25,-6234.75,0.0,-45.0,45.0,0.9794921875,dense1_validate_seed123,123,100,optimizer.Dense_Tracking_Reward_Scale=1,7.559227357649979,20260510_191413_symlog_phaseC_g1,dense1@100ep
-46137.7265625,-1965481.5,-103249.3515625,-2206881.25,114617.34375,-160755.0703125,241399.75,0.0,-50.0,100.0,1.0,dense1_validate_seed456,456,100,optimizer.Dense_Tracking_Reward_Scale=1,7.999156021233345,20260510_191413_symlog_phaseC_g1,dense1@100ep
62390.67578125,-1453869.625,2952.126953125,-1551628.875,92839.2734375,-30448.59765625,97759.25,0.0,-14.0,18.0,1.0,postdeal5_validate_seed7,7,100,objective.Post_Deal_Trade_Penalty=5,7.940085373250016,20260510_191413_symlog_phaseC_g1,postdeal5@100ep
-31084.70703125,-1669260.75,-105797.66015625,-1925075.75,106156.734375,-137241.44140625,255815.0,0.0,-50.0,100.0,1.0,postdeal5_validate_seed123,123,100,objective.Post_Deal_Trade_Penalty=5,8.042540361366688,20260510_191413_symlog_phaseC_g1,postdeal5@100ep
80887.984375,-2111451.75,49011.5546875,-2206881.25,114617.34375,-33729.359375,95429.5,0.0,-50.0,50.0,1.0,postdeal5_validate_seed456,456,100,objective.Post_Deal_Trade_Penalty=5,7.971006636200036,20260510_191413_symlog_phaseC_g1,postdeal5@100ep
92561.28125,-1551865.75,38728.671875,-1551628.875,92839.2734375,-277.9921875,-236.875,0.0,0.0,0.0,0.0,vc05_long_200ep_seed7,7,200,optimizer.Value_Coef=0.05,14.96353618565002,20260510_191413_symlog_phaseC_g1,vc05_200ep@200ep
28298.169921875,-1323938.375,-7889.1875,-1569304.0,112118.96875,-83820.798828125,245365.625,0.0,-21.0,21.0,0.8359375,vc05_long_200ep_seed42,42,200,optimizer.Value_Coef=0.05,14.086506330633346,20260510_191413_symlog_phaseC_g1,vc05_200ep@200ep
