policy,metric,net_pnl,total_ex_funding
ml,mean,74210.60,73243.52
ml,std,563037.75,563369.44
ml,min,-1415603.75,-1417629.25
ml,p5,-721147.46,-723090.74
ml,p95,1116287.09,1116300.12
ml,max,3656343.75,3656603.50
